tagId,parentId,name,code,isLeaf
50,48,识字,1010702,1
51,48,智力开发,1010703,1
52,48,数学,1010704,1
54,53,闯关,1010801,1
55,53,抢滩登陆,1010802,1
57,56,街机,1010901,1
58,56,篮球,1010902,1
59,56,足球,1010903,1
60,56,网球,1010904,1
61,56,台球,1010905,1
62,56,其他球类,1010906,1
64,63,回合制,1011001,1
65,63,即时战斗,1011002,1
66,63,ARPG,1011003,1
68,67,战棋,1011101,1
69,67,经营,1011102,1
70,67,农场家园,1011103,1
72,71,宠物养成类,1011201,1
73,71,恋爱养成,1011202,1
2,115,游戏类型,101,0
3,115,游戏题材,102,0
4,115,美术风格,103,0
126,125,应用类别,201,0
127,126,网购,20101,0
133,126,教育,20102,0
145,126,阅读,20103,0
157,126,资讯,20104,0
165,126,社交,20105,0
171,126,通讯,20106,0
176,126,影音,20107,0
182,126,商旅出行,20108,0
196,126,家居,20109,0
202,126,健康,20110,0
208,126,生活,20111,0
228,126,工作,20112,0
239,126,手机工具,20113,0
251,126,金融理财,20114,0
265,126,房产,20115,0
270,126,母婴,20116,0
274,126,娱乐,20117,0
278,126,汽车,20118,0
281,126,个护美容,20119,0
128,127,网上商城,2010101,1
129,127,团购,2010102,1
130,127,导购,2010103,1
131,127,比价,2010104,1
132,127,购物分享,2010105,1
847,127,海淘,2010106,1
134,133,早教,2010201,1
135,133,课外辅导,2010202,1
136,133,留学出国,2010203,1
137,133,外语,2010204,1
138,133,专业技能,2010205,1
139,133,管理,2010206,1
140,133,文化艺术,2010207,1
141,133,图书音像,2010208,1
142,133,考试,2010209,1
143,133,方言,2010210,1
144,133,课程管理,2010211,1
146,145,胎教读物,2010301,1
147,145,少儿读物,2010302,1
148,145,小说,2010303,1
149,145,期刊杂志,2010304,1
150,145,漫画,2010305,1
151,145,词典翻译,2010306,1
152,145,阅读平台,2010307,1
153,145,诗词名著,2010308,1
154,145,笑话,2010309,1
155,145,心理,2010310,1
156,145,科普,2010311,1
158,157,新闻资讯,2010401,1
